rank,graph6,n,edges,alpha,theta_hi,delta_hi,theta_bulk,solver_diff,pr_hi,status_hi,chi_comp
564,JCRbdO{ufc_,11,26,3,3.6666666858,0.6666666858,3.6666666882,2.453e-09,2.188e-09,optimal,4
565,JCRbdO{zdx_,11,28,3,3.6666666858,0.6666666858,3.6666666832,2.514e-09,1.970e-09,optimal,4
566,JCQbdZcU`x_,11,25,3,3.6666666857,0.6666666857,3.6666666904,4.696e-09,1.625e-09,optimal,4
567,JCRbdO{\fq?,11,26,3,3.6666666855,0.6666666855,3.6666666951,9.621e-09,2.173e-09,optimal,4
568,JCRbdO{~Nl?,11,29,3,3.6666666855,0.6666666855,3.6666666803,5.225e-09,1.877e-09,optimal,4
569,JCQ`fP[rdn?,11,26,3,3.6666666855,0.6666666855,3.6666666783,7.162e-09,1.427e-09,optimal,4
570,JCQeV`[Mbt_,11,26,3,3.6666666854,0.6666666854,3.6666666938,8.479e-09,2.320e-09,optimal,4
571,JCRbdO{xd]?,11,26,3,3.6666666854,0.6666666854,3.6666666891,3.778e-09,2.649e-09,optimal,4
572,JCRbdO{}bm_,11,28,3,3.6666666852,0.6666666852,3.6666666800,5.212e-09,2.986e-09,optimal,4
573,JCRbdO{vfX_,11,28,3,3.6666666850,0.6666666850,3.6666666845,5.363e-10,2.429e-09,optimal,4
574,JCRbdO{|L~_,11,30,3,3.6666666850,0.6666666850,3.6666666802,4.792e-09,3.257e-09,optimal,4
575,JCQRFRY^A}?,11,26,3,3.6666666850,0.6666666850,3.6666666877,2.786e-09,2.662e-09,optimal,4
576,JCRbdO{xtl_,11,28,3,3.6666666849,0.6666666849,3.6666666846,2.415e-10,2.151e-09,optimal,4
577,JCRbdO{za~_,11,29,3,3.6666666849,0.6666666849,3.6666666833,1.560e-09,2.277e-09,optimal,4
578,JCRbdO{~f\?,11,29,3,3.6666666849,0.6666666849,3.6666666912,6.329e-09,1.769e-09,optimal,4
579,JCRbdO{{b|_,11,28,3,3.6666666847,0.6666666847,3.6666666994,1.479e-08,2.201e-09,optimal,4
580,JCRbdO{\ef?,11,26,3,3.6666666845,0.6666666845,3.6666666784,6.118e-09,2.446e-09,optimal,4
581,JCRbdO{{f{_,11,28,3,3.6666666845,0.6666666845,3.6666666918,7.346e-09,2.164e-09,optimal,4
582,JCRbdO{|bz?,11,28,3,3.6666666844,0.6666666844,3.6666666830,1.443e-09,2.462e-09,optimal,4
583,JCRbdO{xbV_,11,27,3,3.6666666844,0.6666666844,3.6666666826,1.836e-09,2.111e-09,optimal,4
584,J?`DD`gSjs?,11,19,4,4.6666666843,0.6666666843,4.6666666874,3.031e-09,3.154e-09,optimal,5
585,JCRbdO{{el?,11,26,3,3.6666666843,0.6666666843,3.6666666940,9.676e-09,2.581e-09,optimal,4
586,JCRbdO{zbl_,11,28,3,3.6666666843,0.6666666843,3.6666666822,2.095e-09,2.309e-09,optimal,4
587,JCRbdO{{aZ_,11,26,3,3.6666666842,0.6666666842,3.6666666882,3.938e-09,1.851e-09,optimal,4
588,JCRbdO{{et_,11,27,3,3.6666666842,0.6666666842,3.6666666795,4.635e-09,2.785e-09,optimal,4
589,JCRbdO{\cz?,11,26,3,3.6666666842,0.6666666842,3.6666666785,5.665e-09,1.867e-09,optimal,4
590,JCRbdO{|Ln_,11,29,3,3.6666666841,0.6666666841,3.6666666827,1.427e-09,2.370e-09,optimal,4
591,JCRbdO{ufI_,11,26,3,3.6666666839,0.6666666839,3.6666666826,1.262e-09,1.501e-09,optimal,4
592,JCRbdO{~e~?,11,30,3,3.6666666839,0.6666666839,3.6666666825,1.397e-09,2.000e-09,optimal,4
593,JCRbdO{znj?,11,29,3,3.6666666838,0.6666666838,3.6666667111,2.738e-08,1.366e-09,optimal,4
594,JCRbdO{\em?,11,26,3,3.6666666837,0.6666666837,3.6666666883,4.598e-09,1.701e-09,optimal,4
595,JCRbdO{{f]_,11,28,3,3.6666666837,0.6666666837,3.6666667060,2.224e-08,2.027e-09,optimal,4
596,JCRbdO{}d}?,11,28,3,3.6666666837,0.6666666837,3.6666666801,3.659e-09,1.576e-09,optimal,4
597,JCRbdO{\a^?,11,26,3,3.6666666837,0.6666666837,3.6666666891,5.398e-09,2.183e-09,optimal,4
598,JCRbcqhNTm_,11,27,3,3.6666666837,0.6666666837,3.6666666834,2.906e-10,2.112e-09,optimal,4
599,JCRbdO{uey?,11,26,3,3.6666666836,0.6666666836,3.6666666957,1.207e-08,2.285e-09,optimal,4
600,JCRbdO{|Mz?,11,28,3,3.6666666836,0.6666666836,3.6666666881,4.477e-09,2.358e-09,optimal,4
601,JCQbfP[rcv?,11,26,3,3.6666666835,0.6666666835,3.6666666784,5.126e-09,1.619e-09,optimal,4
602,JCRbdO{{eh_,11,26,3,3.6666666835,0.6666666835,3.6666666795,3.992e-09,2.522e-09,optimal,4
603,JCQbfP[rfJ?,11,26,3,3.6666666835,0.6666666835,3.6666666795,3.930e-09,1.805e-09,optimal,4
604,JCRbcqhNTR_,11,26,3,3.6666666834,0.6666666834,3.6666666874,3.978e-09,2.387e-09,optimal,4
605,JCRV@qkwrh_,11,26,3,3.6666666834,0.6666666834,3.6666666935,1.008e-08,2.246e-09,optimal,4
606,JCRbdO{^fy?,11,28,3,3.6666666834,0.6666666834,3.6666666802,3.117e-09,1.783e-09,optimal,4
607,JCRV@qkYrh_,11,26,3,3.6666666833,0.6666666833,3.6666666812,2.110e-09,1.954e-09,optimal,4
608,JCRbdO{lNU?,11,26,3,3.6666666833,0.6666666833,3.6666666809,2.372e-09,1.577e-09,optimal,4
609,JCQdbRTrfw?,11,26,3,3.6666666832,0.6666666832,3.6666666791,4.086e-09,2.065e-09,optimal,4
610,JCRbdO{lnn?,11,29,3,3.6666666831,0.6666666831,3.6666666876,4.494e-09,3.275e-09,optimal,4
611,JCRbdO{^f|?,11,29,3,3.6666666831,0.6666666831,3.6666667052,2.205e-08,1.831e-09,optimal,4
612,JCRbdO{}v|_,11,31,3,3.6666666831,0.6666666831,3.6666666946,1.145e-08,2.714e-09,optimal,4
613,JCQdeTwVCj?,11,24,3,3.6666666831,0.6666666831,3.6666666816,1.496e-09,1.475e-09,optimal,4
614,JCRbdO{}e~_,11,30,3,3.6666666831,0.6666666831,3.6666666837,6.327e-10,1.616e-09,optimal,4
615,JCRbdO{xv}_,11,30,3,3.6666666830,0.6666666830,3.6666667086,2.559e-08,2.020e-09,optimal,4
616,JCRbdO{~fV?,11,29,3,3.6666666830,0.6666666830,3.6666666841,1.097e-09,1.550e-09,optimal,4
617,JCQeV`[Mfy?,11,26,3,3.6666666830,0.6666666830,3.6666667081,2.515e-08,1.774e-09,optimal,4
618,JCRV@qk\P}?,11,26,3,3.6666666829,0.6666666829,3.6666666839,1.013e-09,1.893e-09,optimal,4
619,JCRbdO{{eV?,11,26,3,3.6666666828,0.6666666828,3.6666666858,3.010e-09,2.458e-09,optimal,4
620,JCRbdO{ueU_,11,26,3,3.6666666827,0.6666666827,3.6666666950,1.228e-08,3.093e-09,optimal,4
621,JCRbdO{~vv?,11,31,3,3.6666666827,0.6666666827,3.6666666950,1.229e-08,1.297e-09,optimal,4
622,JCRbdO{\du?,11,26,3,3.6666666827,0.6666666827,3.6666666823,3.700e-10,1.957e-09,optimal,4
623,JCRbdO{va|_,11,28,3,3.6666666827,0.6666666827,3.6666666799,2.706e-09,1.808e-09,optimal,4
624,JCRbcqhNVM?,11,26,3,3.6666666826,0.6666666826,3.6666666814,1.218e-09,1.805e-09,optimal,4
625,JCRbdO{}fn_,11,30,3,3.6666666825,0.6666666825,3.6666666799,2.636e-09,1.339e-09,optimal,4
626,JCQeV`[Mfm?,11,26,3,3.6666666825,0.6666666825,3.6666667036,2.114e-08,2.231e-09,optimal,4
627,JCRbdO{xf^?,11,28,3,3.6666666825,0.6666666825,3.6666666796,2.893e-09,2.223e-09,optimal,4
628,JCRbdO{~fy?,11,29,3,3.6666666824,0.6666666824,3.6666666927,1.032e-08,1.245e-09,optimal,4
629,JCRbdO{x`r_,11,26,3,3.6666666824,0.6666666824,3.6666666819,5.448e-10,1.504e-09,optimal,4
630,JCRbdO{\`t_,11,26,3,3.6666666822,0.6666666822,3.6666666865,4.255e-09,1.238e-09,optimal,4
631,JCQeV`[Mfu?,11,26,3,3.6666666822,0.6666666822,3.6666666842,2.034e-09,2.523e-09,optimal,4
632,J?`DE_wYQs_,11,19,4,4.6666666822,0.6666666822,4.6666666971,1.495e-08,1.230e-09,optimal,5
633,JCRbdO{|Nv_,11,30,3,3.6666666821,0.6666666821,3.6666667030,2.085e-08,2.607e-09,optimal,4
634,JCRbdO{ufn?,11,28,3,3.6666666821,0.6666666821,3.6666666826,4.779e-10,1.853e-09,optimal,4
635,JCRbdO{~Ln_,11,30,3,3.6666666821,0.6666666821,3.6666666810,1.117e-09,2.234e-09,optimal,4
636,JCQ`fP[rfi_,11,26,3,3.6666666821,0.6666666821,3.6666666959,1.384e-08,2.068e-09,optimal,4
637,JCQeV`[Mbl_,11,26,3,3.6666666820,0.6666666820,3.6666666806,1.347e-09,3.469e-09,optimal,4
638,JCRbdO{^f~_,11,31,3,3.6666666820,0.6666666820,3.6666666944,1.243e-08,1.324e-09,optimal,4
639,JCRbdO{|fk_,11,28,3,3.6666666820,0.6666666820,3.6666666846,2.629e-09,2.194e-09,optimal,4
640,JCQeThw[qy_,11,26,3,3.6666666819,0.6666666819,3.6666666904,8.455e-09,1.467e-09,optimal,4
641,JCRbdO{^f{_,11,29,3,3.6666666819,0.6666666819,3.6666666968,1.492e-08,1.844e-09,optimal,4
642,JCRbdO{{e\?,11,26,3,3.6666666819,0.6666666819,3.6666666811,7.602e-10,1.646e-09,optimal,4
643,JCQbRikNfK_,11,26,3,3.6666666818,0.6666666818,3.6666666859,4.144e-09,2.220e-09,optimal,4
644,JCRbdO{|b\_,11,28,3,3.6666666818,0.6666666818,3.6666666863,4.566e-09,1.858e-09,optimal,4
645,JCRbdO{|vr_,11,30,3,3.6666666817,0.6666666817,3.6666666803,1.393e-09,1.518e-09,optimal,4
646,JCRbdO{|f|?,11,29,3,3.6666666817,0.6666666817,3.6666666986,1.689e-08,1.468e-09,optimal,4
647,JCRbdO{|az_,11,28,3,3.6666666816,0.6666666816,3.6666666818,1.499e-10,2.045e-09,optimal,4
648,JCRbdO{zb\_,11,28,3,3.6666666816,0.6666666816,3.6666666812,4.252e-10,1.934e-09,optimal,4
649,JCRbdO{xvf?,11,28,3,3.6666666816,0.6666666816,3.6666666842,2.623e-09,1.727e-09,optimal,4
650,JCRbdO{zf\_,11,29,3,3.6666666815,0.6666666815,3.6666666854,3.949e-09,1.960e-09,optimal,4
651,JCRbdO{^fr_,11,29,3,3.6666666814,0.6666666814,3.6666667086,2.714e-08,1.720e-09,optimal,4
652,JCRbdO{{e~?,11,28,3,3.6666666814,0.6666666814,3.6666666881,6.665e-09,1.615e-09,optimal,4
653,JCRV@qkiZh_,11,26,3,3.6666666814,0.6666666814,3.6666666842,2.803e-09,3.024e-09,optimal,4
654,JCRbdO{^fz?,11,29,3,3.6666666814,0.6666666814,3.6666666858,4.437e-09,1.712e-09,optimal,4
655,JCQbfP[rdj?,11,26,3,3.6666666814,0.6666666814,3.6666666864,4.999e-09,1.503e-09,optimal,4
656,JCRbdO{{a\_,11,26,3,3.6666666812,0.6666666812,3.6666666795,1.726e-09,1.544e-09,optimal,4
657,JCRbdO{^fl_,11,29,3,3.6666666812,0.6666666812,3.6666666917,1.049e-08,1.777e-09,optimal,4
658,JCRbdO{{`Z_,11,26,3,3.6666666812,0.6666666812,3.6666666789,2.282e-09,2.046e-09,optimal,4
659,JCRbdO{}c}_,11,28,3,3.6666666812,0.6666666812,3.6666666812,3.032e-11,2.084e-09,optimal,4
660,JCRbcqhNVt?,11,27,3,3.6666666811,0.6666666811,3.6666666941,1.303e-08,1.331e-09,optimal,4
661,JCRbdO{xe{_,11,27,3,3.6666666811,0.6666666811,3.6666666993,1.823e-08,1.537e-09,optimal,4
662,JCRbdO{{ff_,11,28,3,3.6666666811,0.6666666811,3.6666667050,2.394e-08,1.778e-09,optimal,4
663,JCOedrdnD]?,11,26,3,3.6666666810,0.6666666810,3.6666666874,6.393e-09,1.651e-09,optimal,4
664,JCQ`fP[[u[_,11,25,3,3.6666666810,0.6666666810,3.6666666842,3.183e-09,1.279e-09,optimal,4
665,JCRbdO{\er?,11,26,3,3.6666666810,0.6666666810,3.6666666832,2.190e-09,1.963e-09,optimal,4
666,JCRbdO{{fn_,11,29,3,3.6666666810,0.6666666810,3.6666666914,1.040e-08,1.692e-09,optimal,4
667,JCRbdO{|Nr_,11,29,3,3.6666666810,0.6666666810,3.6666666804,5.863e-10,1.816e-09,optimal,4
668,JCRbdO{\fR?,11,26,3,3.6666666810,0.6666666810,3.6666666856,4.601e-09,1.322e-09,optimal,4
669,JCRbdO{{f~?,11,29,3,3.6666666809,0.6666666809,3.6666666847,3.891e-09,1.855e-09,optimal,4
670,JCRbdO{|N~?,11,30,3,3.6666666808,0.6666666808,3.6666666815,6.339e-10,2.307e-09,optimal,4
671,JCRbdO{lLy_,11,27,3,3.6666666808,0.6666666808,3.6666666832,2.425e-09,1.811e-09,optimal,4
672,JCRbdO{utl_,11,28,3,3.6666666808,0.6666666808,3.6666666860,5.140e-09,1.732e-09,optimal,4
673,JCQbfP[rd^?,11,27,3,3.6666666807,0.6666666807,3.6666666811,4.071e-10,2.486e-09,optimal,4
674,JCRbdO{{b\?,11,26,3,3.6666666807,0.6666666807,3.6666666891,8.394e-09,1.876e-09,optimal,4
675,JCRbdO{~f~?,11,31,3,3.6666666806,0.6666666806,3.6666666928,1.213e-08,1.207e-09,optimal,4
676,JCRbdO{zfV?,11,28,3,3.6666666805,0.6666666805,3.6666666992,1.870e-08,1.262e-09,optimal,4
677,JCRbdO{zfi_,11,28,3,3.6666666805,0.6666666805,3.6666666826,2.188e-09,1.111e-09,optimal,4
678,JCRbdO{}d^_,11,29,3,3.6666666804,0.6666666804,3.6666666795,9.410e-10,1.171e-09,optimal,4
679,JCRbdO{~f|_,11,31,3,3.6666666803,0.6666666803,3.6666666884,8.097e-09,1.343e-09,optimal,4
680,JCRbdO{uf~_,11,30,3,3.6666666803,0.6666666803,3.6666666976,1.727e-08,1.782e-09,optimal,4
681,JCQbfP[rfM?,11,26,3,3.6666666802,0.6666666802,3.6666666795,7.247e-10,2.955e-09,optimal,4
682,JCRbdO{lNe_,11,27,3,3.6666666802,0.6666666802,3.6666667029,2.263e-08,1.146e-09,optimal,4
683,JCRbdO{ud^?,11,27,3,3.6666666802,0.6666666802,3.6666666851,4.836e-09,1.069e-09,optimal,4
684,JCQ`fP[rem_,11,26,3,3.6666666802,0.6666666802,3.6666666877,7.493e-09,1.168e-09,optimal,4
685,JCRbdO{|fR_,11,28,3,3.6666666801,0.6666666801,3.6666666835,3.454e-09,1.775e-09,optimal,4
