G?AFfO,8,9,5,5.000000008014903,8.014903407627116e-09,True,5,0.001397017011186108,solved,4.3867987951512194e-10
G?AFfS,8,10,5,4.999999972292817,-2.7707183214431552e-08,True,5,0.0013189029996283352,solved,3.001865093343119e-09
G?AFfW,8,10,5,5.000000000915696,9.156959634992745e-10,True,5,0.0013337380078155547,solved,8.128919670469698e-11
G?AFf[,8,11,5,4.999999999591279,-4.0872105699918393e-10,True,5,0.0013919030025135726,solved,8.773547004666279e-12
G?AFfo,8,10,5,5.000000000828866,8.288658648325509e-10,True,5,0.001372617989545688,solved,6.901736784147355e-11
G?AFfs,8,11,5,4.9999999965159425,-3.4840574869576812e-09,True,5,0.0012612179853022099,solved,3.4414894616590425e-10
G?AFfw,8,11,5,4.999999984732609,-1.5267390907069966e-08,True,5,0.001387869007885456,solved,1.2797186163488364e-09
G?AFf{,8,12,5,4.999999998816061,-1.1839391689250078e-09,True,5,0.001008486986393109,solved,1.8471165255599613e-11
G?AFnW,8,11,5,5.000000002360697,2.36069741532674e-09,True,5,0.0014147240144666284,solved,1.3885333307431194e-10
G?AFn[,8,12,5,4.9999999623169895,-3.7683010489786284e-08,True,5,0.001053894986398518,solved,2.5375257450832578e-12
G?AFnw,8,12,5,5.000000029205885,2.9205884821692507e-08,True,5,0.0011711459956131876,solved,1.6309217718063952e-09
G?AFn{,8,13,5,5.000000014059291,1.4059290620593856e-08,True,5,0.0007216900121420622,solved,9.419176431458911e-10
G?AFrw,8,11,5,4.999999987085313,-1.2914687097520527e-08,False,5,0.0011376109905540943,solved,3.185487121385819e-09
G?AFr{,8,12,5,5.000000000823017,8.230172099388255e-10,True,5,0.0012055780098307878,solved,4.9433769965146935e-11
G?AFvg,8,11,5,4.99999999943048,-5.695204308153734e-10,True,5,0.0013559830258600414,solved,1.755027711452112e-11
G?AFvk,8,12,5,4.999999994665777,-5.334222841213432e-09,True,5,0.0013268050097394735,solved,8.620240790069448e-11
G?AFvo,8,11,5,5.000000008372798,8.372797566380541e-09,True,5,0.0014312510029412806,solved,4.350590235826444e-10
G?AFvs,8,12,5,5.000000003022363,3.0223628044723228e-09,True,5,0.0014241620083339512,solved,2.0884826535738613e-10
G?AFvw,8,12,5,5.000000033721122,3.372112189481413e-08,True,5,0.0011293749848846346,solved,3.1072548804303323e-09
G?AFv{,8,13,5,4.999999983217421,-1.6782578882157395e-08,True,5,0.001050151011440903,solved,1.813614570173433e-09
