graph6,n,edges,alpha,theta,delta,perfect,chi_comp,solve_time,status,pr
FCf~o,7,13,3,2.9999999899648877,-1.0035112296691295e-08,True,3,0.0008721000049263239,solved,3.946666296019828e-11
FCf~w,7,14,3,2.999999998988203,-1.011796868510828e-09,True,3,0.0005256300210021436,solved,1.635179944572962e-09
FCpV?,7,8,3,3.236068011759982,0.23606801175998182,False,4,0.0014008930011186749,solved,5.126484689516052e-09
FCpVO,7,9,3,3.23606798525394,0.23606798525394002,False,4,0.0014999790000729263,solved,1.1568311933379035e-09
FCpV_,7,9,3,3.236067981199872,0.23606798119987182,False,4,0.0014179940044414252,solved,1.7962598666332386e-09
FCpVo,7,10,3,3.2360679597397812,0.23606795973978123,False,4,0.0014547000173479319,solved,1.679466646852502e-09
FCpVw,7,11,3,3.2360679622065525,0.23606796220655246,False,4,0.000665475003188476,solved,5.095586931490252e-10
FCp`_,7,7,3,3.3176672107524903,0.31766721075249027,False,4,0.001110985002014786,solved,2.9134667756839927e-10
FCpbO,7,8,3,3.0000000003883125,3.8831249327131445e-10,True,3,0.0016721950087230653,solved,6.027450321044976e-11
FCpb_,7,8,3,3.2360679859038632,0.23606798590386324,False,4,0.0021401040139608085,solved,6.403621542143045e-10
FCpbo,7,9,3,2.9999999953829124,-4.6170876011331075e-09,True,3,0.0016451470146421343,solved,8.49769220307472e-11
FCpdG,7,8,3,2.999999995502803,-4.497196837149886e-09,False,3,0.001438863982912153,solved,8.948397578478762e-14
FCpdO,7,8,3,3.2360679785839235,0.23606797858392348,False,4,0.0022502880019601434,solved,6.213492672524036e-10
FCpd_,7,8,3,2.999999987753122,-1.2246878178245879e-08,True,3,0.0013602369872387499,solved,2.8844704402786192e-12
FCpdg,7,9,3,2.999999997840838,-2.1591621823802143e-09,False,3,0.0014081469853408635,solved,1.4034478125400082e-10
FCpdo,7,9,3,3.0000000062571863,6.257186324631903e-09,False,3,0.002321445004781708,solved,6.552121866422231e-10
FCpeG,7,8,4,3.9999999918433606,-8.156639363932072e-09,True,4,0.0012839720002375543,solved,5.507487278576112e-10
FCpeO,7,8,3,2.9999999902861703,-9.71382974057633e-09,True,3,0.0014377920015249401,solved,2.3092638912203256e-14
FCpeW,7,9,3,3.000000025999627,2.5999626895867323e-08,True,3,0.0015720789961051196,solved,4.188307777965504e-09
FCpe_,7,8,3,3.00000000744401,7.444009852974887e-09,True,3,0.0013322590093594044,solved,8.049205948575894e-10
FCpeg,7,9,3,3.0000000061685284,6.168528354777436e-09,True,3,0.0016251449997071177,solved,6.88895477546515e-10
FCpeo,7,9,3,3.0000000007241296,7.241296451354629e-10,True,3,0.0012857019901275635,solved,8.827128305807442e-11
FCpf?,7,8,4,3.9999999936749804,-6.32501961916887e-09,True,4,0.0013974080211482942,solved,5.388779218589391e-10
FCpfG,7,9,3,2.9999999989717705,-1.02822950154291e-09,True,3,0.0013289109920151532,solved,1.4172759773209125e-10
FCpfO,7,9,3,2.999999996181468,-3.818532157140453e-09,True,3,0.0014276590081863105,solved,2.3329685586695597e-10
FCpfW,7,10,3,2.999999999418218,-5.817821779885435e-10,True,3,0.0015852889919187874,solved,8.640411521375947e-10
FCpf_,7,9,3,3.0000000180549273,1.8054927330979353e-08,True,3,0.001480942009948194,solved,1.5975857368007101e-09
FCpfg,7,10,3,3.0000000069676807,6.967680654668129e-09,True,3,0.0017563799920026213,solved,3.584830068437674e-09
FCpfo,7,10,3,2.999999994977005,-5.022994908898681e-09,True,3,0.002010355005040765,solved,4.5852210917018965e-14
FCpfw,7,11,3,2.9999999968739215,-3.1260785071651753e-09,True,3,0.0013252549979370087,solved,9.681144774731365e-14
FCprg,7,10,3,3.000000011910727,1.1910727071295923e-08,False,3,0.0019665279833134264,solved,1.069894207172898e-09
FCptO,7,9,3,3.064177763979981,0.06417776397998098,False,4,0.0029416670149657875,solved,1.2208207727470706e-09
FCpug,7,10,3,2.9999999991644577,-8.355423020134367e-10,False,3,0.0018656609754543751,solved,4.440892098500626e-15
FCpuo,7,10,3,3.000000000614495,6.144951214537286e-10,False,3,0.0014632009842898697,solved,4.5426162968849755e-10
FCpuw,7,11,3,3.000000000342471,3.424709404953319e-10,False,3,0.002034590987022966,solved,8.132130946516322e-10
FCpv?,7,9,3,3.196557592453652,0.19655759245365179,False,4,0.0016488299879711121,solved,2.7206710681540194e-09
FCpvO,7,10,3,3.0000000066335226,6.6335226200919806e-09,False,3,0.0027878480032086372,solved,7.089128380603563e-10
FCpvW,7,11,3,3.0000000038022234,3.802223424997919e-09,False,3,0.002292693010531366,solved,1.760217744278122e-09
FCpv_,7,10,3,2.999999998153009,-1.8469910045837423e-09,False,3,0.0026004600222222507,solved,1.425526363618701e-13
FCpvg,7,11,3,2.999999993181055,-6.818944964237517e-09,False,3,0.0018844959849957377,solved,3.680284707723763e-11
FCpvo,7,11,3,2.9999999976381497,-2.361850270915511e-09,False,3,0.002639735001139343,solved,4.211597310920259e-11
FCpvw,7,12,3,2.999999998036641,-1.963358808865223e-09,False,3,0.0015824470028746873,solved,4.8605008233636545e-11
FCqnW,7,11,3,2.9999999964669835,-3.5330165459868113e-09,True,3,0.0015928400098346174,solved,6.593614543248805e-13
FCqn_,7,10,3,3.000000008852401,8.852401034431523e-09,False,3,0.0020309789979364723,solved,7.352383571993603e-10
FCqno,7,11,3,3.0000000103184563,1.031845631160877e-08,True,3,0.003294810012448579,solved,9.476362725311865e-09
FCqnw,7,12,3,2.999999981798856,-1.8201144147411696e-08,True,3,0.002114583010552451,solved,2.0160539904168218e-12
FCrHw,7,10,3,3.0000000129693074,1.2969307405796826e-08,True,3,0.001407410018146038,solved,8.554520137552118e-09
FCrJo,7,10,3,3.0000000243656557,2.436565571528604e-08,False,3,0.001624942000489682,solved,2.503526687996993e-09
FCrJw,7,11,3,2.999999981980251,-1.801974880422108e-08,True,3,0.0015401729906443506,solved,3.6112159631540778e-09
FCrLW,7,10,3,3.0000000061584866,6.1584866095643065e-09,True,3,0.0016203600098378956,solved,1.4635767235413086e-09
FCrLw,7,11,3,2.9999999684823755,-3.151762451025775e-08,True,3,0.0014332089922390878,solved,8.03844645463358e-09
FCrNW,7,11,3,3.000000003110201,3.110200985645406e-09,True,3,0.001295984984608367,solved,2.4502686551206815e-09
FCrNo,7,11,3,2.9999999884803312,-1.1519668774440106e-08,True,3,0.0018964390037581325,solved,3.073595644585639e-09
FCrNw,7,12,3,2.9999999958355286,-4.164471434364714e-09,True,3,0.0012619289918802679,solved,3.597122599785507e-14
FCrRo,7,10,3,3.000000003296721,3.2967211183176914e-09,True,3,0.0013205359864514321,solved,4.5589171936083876e-10
FCrVG,7,10,3,2.9999999989594697,-1.0405303285665468e-09,True,3,0.0017844060203060508,solved,2.3119062434120229e-10
FCrVW,7,11,3,3.000000001728474,1.7284738085265872e-09,True,3,0.0014044439885765314,solved,1.0343690751861648e-09
FCrVg,7,11,3,2.9999999948129643,-5.1870356898575665e-09,True,3,0.0018331210012547672,solved,1.3489209749195652e-13
FCrVo,7,11,3,3.0000000159556333,1.5955633259068236e-08,True,3,0.00210565299494192,solved,6.131798409251517e-09
FCrVw,7,12,3,2.9999999940679176,-5.932082380866177e-09,True,3,0.0013263239816296846,solved,8.65307825392847e-13
FCr^o,7,12,3,2.9999999851913337,-1.4808666293220085e-08,True,3,0.0013600990059785545,solved,3.0767610681436963e-12
FCr^w,7,13,3,3.0000000096858406,9.68584057403632e-09,True,3,0.001125932001741603,solved,1.0658110505371884e-09
FCrbo,7,10,3,3.0000000008572316,8.572316190225138e-10,False,3,0.0019194970082025975,solved,6.29796036991844e-11
FCrdo,7,10,3,3.000000000792343,7.92343080036062e-10,False,3,0.0020801780046895146,solved,2.0488244067409407e-10
FCreW,7,10,3,2.999999994011138,-5.988861850880767e-09,True,3,0.0018866850004997104,solved,1.309517065588749e-10
FCreo,7,10,3,3.0000000026500193,2.6500193150980067e-09,True,3,0.0016211899928748608,solved,1.4667153318859856e-09
FCrfO,7,10,3,3.0000000008671854,8.671854345720931e-10,True,3,0.0018716440245043486,solved,2.5686353987752116e-10
FCrfW,7,11,3,2.999999995392182,-4.607818127055907e-09,True,3,0.0016194469935726374,solved,2.0884573552858502e-11
FCrf_,7,10,3,2.999999995646235,-4.353764904152513e-09,True,3,0.002037433994701132,solved,3.3306690738754696e-15
FCrfg,7,11,3,3.0000000105306315,1.0530631477934094e-08,True,3,0.0017597599944565445,solved,3.9622324096205214e-09
FCrfo,7,11,3,3.0000000065838326,6.583832590223437e-09,True,3,0.001852023007813841,solved,8.372357555892094e-10
FCrfw,7,12,3,3.0000000063288086,6.328808588307311e-09,True,3,0.0012939810112584382,solved,6.208921125872731e-10
FCrjw,7,12,3,3.0000000052765556,5.276555636868352e-09,True,3,0.0017725859943311661,solved,7.273227617564844e-10
FCrlw,7,12,3,3.00000000258145,2.5814501647403176e-09,True,3,0.0016201719990931451,solved,2.5245918026564713e-10
FCrmw,7,12,3,2.999999999315051,-6.849489864180214e-10,True,3,0.001547144987853244,solved,2.0918478776320928e-10
FCrnW,7,12,3,3.0000000063528534,6.352853354485433e-09,True,3,0.0015450190112460405,solved,8.399453059353613e-10
FCrng,7,12,3,3.000000000345426,3.454259100976742e-10,True,3,0.0015372300113085657,solved,1.4560418924393187e-10
FCrno,7,12,3,3.0000000005654557,5.654556822776158e-10,True,3,0.001660075009567663,solved,1.587820555953734e-10
FCrnw,7,13,3,2.9999999963115846,-3.688415350922014e-09,True,3,0.0013090860156808048,solved,1.0884582265081019e-10
FCrro,7,11,3,2.9999999970276803,-2.9723197236819487e-09,False,3,0.0013893020222894847,solved,1.4633857244908053e-09
FCrrw,7,12,3,3.0000000221782552,2.217825523231909e-08,True,3,0.0014212380046956241,solved,6.954096379148972e-09
FCruw,7,12,3,3.0000000170858288,1.708582875181719e-08,True,3,0.001581490010721609,solved,2.0899588316024966e-09
FCrvg,7,12,3,3.0000000043786192,4.378619244960191e-09,True,3,0.001609094993909821,solved,1.3272430574980039e-09
FCrvo,7,12,3,3.000000016870764,1.687076389700337e-08,True,3,0.0015624709776602685,solved,4.850417963901879e-09
FCrvw,7,13,3,3.000000014572187,1.4572187012618087e-08,True,3,0.0013029960100539029,solved,1.4968813125636918e-09
FCr~o,7,13,3,2.9999999958602275,-4.139772524780483e-09,True,3,0.000965598999755457,solved,2.582096605318775e-10
FCr~w,7,14,3,2.9999999987040162,-1.2959837647485983e-09,True,3,0.0009173719736281782,solved,4.358084660555917e-13
FCurW,7,11,3,3.000000009102636,9.102635978308626e-09,True,3,0.001019360002828762,solved,1.6930682105256531e-09
FCusw,7,11,3,2.9999999973923352,-2.607664750797767e-09,True,3,0.0014597499975934625,solved,1.5107275705288068e-10
FCuto,7,11,3,2.999999995589483,-4.410516840636092e-09,True,3,0.0014234190166462213,solved,1.2750433484851423e-10
FCuuW,7,11,3,2.9999999947818914,-5.218108611870775e-09,True,3,0.0012721699895337224,solved,5.443423489737143e-13
FCuuw,7,12,3,2.999999995835097,-4.164903089076688e-09,True,3,0.0009498290019109845,solved,3.561595462997502e-13
FCuvW,7,12,3,2.9999999849002585,-1.509974145719184e-08,True,3,0.001392350997775793,solved,2.5833779560002768e-12
FCuvo,7,12,3,3.0000000316144946,3.161449457778076e-08,True,3,0.000870281015522778,solved,5.490201569757399e-09
FCuvw,7,13,3,3.000000001323665,1.3236651774661823e-09,True,3,0.000739909999538213,solved,1.811046431669416e-10
FCu~w,7,14,3,3.0000000024384543,2.438454327347017e-09,True,3,0.0007227140013128519,solved,2.734627436653857e-10
FCvRW,7,11,3,3.0000000053826255,5.38262545646262e-09,True,3,0.0011906980071216822,solved,6.366045875675282e-09
FCvTw,7,12,3,2.9999999993896997,-6.10300254777485e-10,True,3,0.0013006790250074118,solved,1.2915288127242726e-11
FCvVW,7,12,3,3.0000000083236094,8.323609357319128e-09,True,3,0.0014654019905719906,solved,1.8124545679776102e-09
FCvVo,7,12,3,3.000000004644077,4.644077122861745e-09,True,3,0.0013121440133545548,solved,5.26312662141604e-10
FCvVw,7,13,3,3.0000000003219403,3.2194025223475364e-10,True,3,0.0016667089948896319,solved,4.2144809070417534e-10
FCv\w,7,13,3,2.999999994711142,-5.288857796159618e-09,True,3,0.0009494940168224275,solved,2.954041364225819e-11
FCv^o,7,13,3,3.000000028349221,2.834922119276939e-08,True,3,0.0008455569914076477,solved,5.715676977819065e-09
FCv^w,7,14,3,2.9999999949314353,-5.068564679078236e-09,True,3,0.0007412300037685782,solved,5.44991726474852e-11
FCv`w,7,11,3,2.99999999760417,-2.3958302008963983e-09,True,3,0.001691829995252192,solved,1.7071382845659564e-10
FCvaw,7,11,3,3.0000000021901796,2.190179593242192e-09,True,3,0.0015841049898881465,solved,8.205159249537956e-10
FCvbW,7,11,3,3.0000000003218297,3.21829674021501e-10,True,3,0.0013946740073151886,solved,1.1693626509462343e-10
FCvbg,7,11,3,2.9999999997289457,-2.710542901240842e-10,True,3,0.0014756539894733578,solved,1.5088281966473085e-10
FCvbo,7,11,3,2.999999986618415,-1.3381585173277699e-08,False,3,0.0961037669912912,solved,1.2694522334283353e-08
FCvbw,7,12,3,3.000000001033492,1.0334919586796332e-09,True,3,0.0015981660108081996,solved,1.3934062366970583e-10
FCvcw,7,11,3,3.000000006677039,6.677038921765188e-09,True,3,0.001398628985043615,solved,9.966981157838013e-10
FCvdW,7,11,3,3.0000000022646365,2.264636478344073e-09,True,3,0.0013366809871513397,solved,2.440386621999502e-10
FCvdg,7,11,3,2.999999999581035,-4.189648628027953e-10,False,3,0.001567733008414507,solved,2.8000350126868764e-10
FCvdo,7,11,3,2.9999999987381947,-1.261805326890908e-09,False,3,0.001569976011523977,solved,2.9081790846005526e-10
FCvdw,7,12,3,2.999999991569178,-8.43082181845034e-09,True,3,0.0014003599935676903,solved,1.5459855617905305e-12
FCveg,7,11,3,3.000000007867644,7.867643869730045e-09,True,3,0.001458490005461499,solved,5.48198723144118e-09
FCveo,7,11,3,3.0000000250511327,2.5051132723774572e-08,True,3,0.0010210220061708242,solved,3.0584974892731646e-09
