rank,graph6,n,edges,alpha,theta_hi,delta_hi,theta_bulk,solver_diff,pr_hi,status_hi,perfect,chi_comp
253,HCQeR`k,9,14,3,3.3722813340,0.3722813340,3.372281325884878,8.091e-09,8.902e-10,optimal,False,4
254,HCQbdo},9,16,3,3.3722813337,0.3722813337,3.3722813258176787,7.879e-09,1.722e-09,optimal,False,4
255,HCQbdr^,9,18,3,3.3722813336,0.3722813336,3.3722813219159185,1.171e-08,1.459e-09,optimal,False,4
256,HCQe`rq,9,15,3,3.3722813335,0.3722813335,3.372281336834769,3.332e-09,1.191e-09,optimal,False,4
257,HCQe`rk,9,15,3,3.3722813335,0.3722813335,3.372281332036767,1.440e-09,1.555e-09,optimal,False,4
258,HCQe`qx,9,15,3,3.3722813331,0.3722813331,3.3722813424143454,9.266e-09,3.382e-09,optimal,False,4
259,HCRb`zt,9,18,3,3.3722813331,0.3722813331,3.3722813271986114,5.914e-09,9.003e-10,optimal,False,4
260,HCRb`x],9,17,3,3.3722813331,0.3722813331,3.3722813375682827,4.508e-09,1.217e-09,optimal,False,4
261,HCRctS},9,17,3,3.3722813330,0.3722813330,3.372281289447896,4.359e-08,1.362e-09,optimal,False,4
262,HCQbfRM,9,16,3,3.3722813329,0.3722813329,3.372281329805061,3.104e-09,8.130e-10,optimal,False,4
263,HCRb`zT,9,17,3,3.3722813329,0.3722813329,3.3722813397245917,6.859e-09,1.044e-09,optimal,False,4
264,HCR`val,9,17,3,3.3722813328,0.3722813328,3.3722813238010505,8.951e-09,1.654e-09,optimal,False,4
265,HCQRDP[,9,13,3,3.3722813327,0.3722813327,3.3722813300022954,2.699e-09,7.756e-10,optimal,False,4
266,HCQe`rV,9,16,3,3.3722813327,0.3722813327,3.3722813234945654,9.195e-09,3.584e-09,optimal,False,4
267,HCQbdW|,9,16,3,3.3722813327,0.3722813327,3.3722813204118065,1.226e-08,1.169e-09,optimal,False,4
268,HCQe`rZ,9,16,3,3.3722813327,0.3722813327,3.372281325404958,7.249e-09,1.805e-09,optimal,False,4
269,HCRb`z^,9,19,3,3.3722813325,0.3722813325,3.3722813390998594,6.567e-09,1.250e-09,optimal,False,4
270,HCQRDP{,9,14,3,3.3722813325,0.3722813325,3.3722813403902583,7.881e-09,7.749e-10,optimal,False,4
271,HCQfdq],9,17,3,3.3722813325,0.3722813325,3.3722813261081086,6.390e-09,1.647e-09,optimal,False,4
272,HCRb`zn,9,19,3,3.3722813324,0.3722813324,3.3722813169144605,1.549e-08,1.218e-09,optimal,False,4
273,HCQbdrZ,9,17,3,3.3722813323,0.3722813323,3.3722813194797054,1.283e-08,1.444e-09,optimal,False,4
274,HCQbeqx,9,16,3,3.3722813323,0.3722813323,3.372281320043823,1.225e-08,1.464e-09,optimal,False,4
275,HCRb`zl,9,18,3,3.3722813323,0.3722813323,3.372281314747554,1.752e-08,8.639e-10,optimal,False,4
276,HCQbeYx,9,16,3,3.3722813323,0.3722813323,3.372281327417752,4.845e-09,1.998e-09,optimal,False,4
277,HCQe`rj,9,16,3,3.3722813322,0.3722813322,3.372281326855877,5.365e-09,1.880e-09,optimal,False,4
278,HCQbfP{,9,16,3,3.3722813319,0.3722813319,3.3722813259640882,5.977e-09,9.712e-10,optimal,False,4
279,HCQe`rR,9,15,3,3.3722813318,0.3722813318,3.3722813284575937,3.339e-09,9.403e-10,optimal,False,4
280,HCQbdrm,9,17,3,3.3722813317,0.3722813317,3.37228132916321,2.542e-09,1.071e-09,optimal,False,4
281,HCQbdr\,9,17,3,3.3722813317,0.3722813317,3.372281328479084,3.204e-09,1.245e-09,optimal,False,4
282,HCQbdy{,9,17,3,3.3722813316,0.3722813316,3.372281318323088,1.331e-08,8.283e-10,optimal,False,4
283,HCrbbpt,9,18,3,3.3722813314,0.3722813314,3.3722813156814566,1.575e-08,1.203e-09,optimal,False,4
284,HCQbec|,9,16,3,3.3722813314,0.3722813314,3.3722813322075424,7.891e-10,1.474e-09,optimal,False,4
285,HCQbdrj,9,17,3,3.3722813314,0.3722813314,3.372281325999845,5.397e-09,1.772e-09,optimal,False,4
286,HCR`vbU,9,17,3,3.3722813314,0.3722813314,3.3722813268549223,4.530e-09,9.371e-10,optimal,False,4
287,HCRb`z|,9,19,3,3.3722813313,0.3722813313,3.3722813154679487,1.581e-08,8.868e-10,optimal,False,4
288,HCQbcux,9,16,3,3.3722813310,0.3722813310,3.3722813395634845,8.553e-09,1.579e-09,optimal,False,4
289,HCQbdqt,9,16,3,3.3722813310,0.3722813310,3.3722813308997024,8.422e-11,8.012e-10,optimal,False,4
290,HCRb`zf,9,18,3,3.3722813310,0.3722813310,3.372281321443178,9.508e-09,1.420e-09,optimal,False,4
291,HCp`fRM,9,16,3,3.3722813308,0.3722813308,3.37228132687757,3.917e-09,7.056e-10,optimal,False,4
